Reach_ID,AverageRate_FtPerYr,MaxAverageRate_FtPerYr,MinAverageRate_FtPerYr
CEMVR_IL_LA_MVR_1,0.325,6.015,-11.812
CEMVR_IL_LA_MVR_10,0.061,1.434,-3.023
CEMVR_IL_LA_MVR_11,0.324,1.985,-3.308
CEMVR_IL_LA_MVR_12,0.014,9.262,-15
CEMVR_IL_LA_MVR_13,0,0.931,-1.211
CEMVR_IL_LA_MVR_14,0,30,-15
CEMVR_IL_LA_MVR_15,0,1.852,-4.728
CEMVR_IL_LA_MVR_16,0,0.76,-0.982
CEMVR_IL_LA_MVR_17,0,1.014,-1.078
CEMVR_IL_LA_MVR_18,0,9.597,-6.095
CEMVR_IL_LA_MVR_19,0,20.017,-15
CEMVR_IL_LA_MVR_2,0.044,4.242,-2.834
CEMVR_IL_LA_MVR_20,0,0.746,-1.51
CEMVR_IL_LA_MVR_21,0.056,0.769,-1.259
CEMVR_IL_LA_MVR_22,0.105,30,-1.361
CEMVR_IL_LA_MVR_23,0.038,1.466,-2.473
CEMVR_IL_LA_MVR_24,0.042,2.275,-4.117
CEMVR_IL_LA_MVR_25,0,1.921,-4.081
CEMVR_IL_LA_MVR_26,0,2.35,-3.199
CEMVR_IL_LA_MVR_27,0,3.068,-7.343
CEMVR_IL_LA_MVR_28,0,1.772,-4.669
CEMVR_IL_LA_MVR_29,0.225,21.397,-15
CEMVR_IL_LA_MVR_3,0.416,2.846,-1.668
CEMVR_IL_LA_MVR_30,0.058,30,-11.969
CEMVR_IL_LA_MVR_31,0.197,19.518,-11.84
CEMVR_IL_LA_MVR_32,0.229,15.432,-15
CEMVR_IL_LA_MVR_33,0.134,6.393,-6.669
CEMVR_IL_LA_MVR_34,0.195,8.591,-6.743
CEMVR_IL_LA_MVR_35,0.6,30,-8.199
CEMVR_IL_LA_MVR_36,0.602,30,-15
CEMVR_IL_LA_MVR_37,0.39,27.394,-7.277
CEMVR_IL_LA_MVR_38,0.117,30,-15
CEMVR_IL_LA_MVR_39,0.013,1.996,-4.748
CEMVR_IL_LA_MVR_4,0.255,2.838,-2.548
CEMVR_IL_LA_MVR_40,0.017,4.676,-15
CEMVR_IL_LA_MVR_41,0.019,12.26,-10.735
CEMVR_IL_LA_MVR_42,0,30,-9.323
CEMVR_IL_LA_MVR_43,0,3.811,-13.548
CEMVR_IL_LA_MVR_44,0,1.337,-12.919
CEMVR_IL_LA_MVR_45,0,15.522,-8.497
CEMVR_IL_LA_MVR_46,0,1.669,-7.199
CEMVR_IL_LA_MVR_47,0,0.882,-1.707
CEMVR_IL_LA_MVR_48,0,1.078,-2.221
CEMVR_IL_LA_MVR_49,0.161,13.422,-6.293
CEMVR_IL_LA_MVR_5,0.105,5.416,-6.803
CEMVR_IL_LA_MVR_50,0.029,3.83,-4.889
CEMVR_IL_LA_MVR_51,0,3.01,-4.116
CEMVR_IL_LA_MVR_52,0,8.975,-15
CEMVR_IL_LA_MVR_53,0.016,7.633,-5.778
CEMVR_IL_LA_MVR_54,0.186,30,-15
CEMVR_IL_LA_MVR_55,0.195,16.908,-5.282
CEMVR_IL_LA_MVR_56,0.101,8.331,-14.654
CEMVR_IL_LA_MVR_57,0.303,30,-15
CEMVR_IL_LA_MVR_58,0.105,5.369,-7.239
CEMVR_IL_LA_MVR_59,0.004,1.981,-1.593
CEMVR_IL_LA_MVR_6,0.041,20.12,-7.505
CEMVR_IL_LA_MVR_60,0.023,1.098,-1.958
CEMVR_IL_LA_MVR_61,0.008,3.969,-1.737
CEMVR_IL_LA_MVR_62,0.075,23.623,-9.677
CEMVR_IL_LA_MVR_63,0.156,30,-7.235
CEMVR_IL_LA_MVR_64,0.264,7.926,-2.573
CEMVR_IL_LA_MVR_65,0.037,3.407,-15
CEMVR_IL_LA_MVR_66,0.237,12.647,-4.956
CEMVR_IL_LA_MVR_67,0.302,23.387,-11.22
CEMVR_IL_LA_MVR_68,0.697,6.008,-15
CEMVR_IL_LA_MVR_69,0.394,24.884,-11.907
CEMVR_IL_LA_MVR_7,0,6.043,-10.513
CEMVR_IL_LA_MVR_70,0.068,8.467,-6.854
CEMVR_IL_LA_MVR_71,0.388,11.867,-14.857
CEMVR_IL_LA_MVR_72,0.194,11.701,-6.904
CEMVR_IL_LA_MVR_73,0.027,21.824,-7.615
CEMVR_IL_LA_MVR_74,0.078,15.355,-8.923
CEMVR_IL_LA_MVR_75,0.119,2.836,-1.521
CEMVR_IL_LA_MVR_76,0.099,1.63,-2.849
CEMVR_IL_LA_MVR_77,0.09,3.183,-3.136
CEMVR_IL_LA_MVR_78,0.5,30,-15
CEMVR_IL_LA_MVR_8,0.274,30,-15
CEMVR_IL_LA_MVR_9,0.401,30,-13.612
CEMVR_IL_PE_MVR_1,3.327,30,-15
CEMVR_IL_PE_MVR_10,0.021,1.633,-0.41
CEMVR_IL_PE_MVR_11,0.07,0.581,-0.116
CEMVR_IL_PE_MVR_12,0.009,1.177,-0.481
CEMVR_IL_PE_MVR_13,0,0.528,-0.619
CEMVR_IL_PE_MVR_14,0,0.598,-0.394
CEMVR_IL_PE_MVR_15,0.051,5.453,-1.858
CEMVR_IL_PE_MVR_16,0.048,2.955,-3.09
CEMVR_IL_PE_MVR_17,0,0.678,-0.703
CEMVR_IL_PE_MVR_18,0,0.283,-0.286
CEMVR_IL_PE_MVR_19,0,0.388,-0.231
CEMVR_IL_PE_MVR_2,0.254,30,-15
CEMVR_IL_PE_MVR_20,0,0.247,-0.289
CEMVR_IL_PE_MVR_21,0,1.237,-1.698
CEMVR_IL_PE_MVR_22,0.006,1.783,-4.222
CEMVR_IL_PE_MVR_23,0.008,8.373,-10.841
CEMVR_IL_PE_MVR_24,0.033,18.379,-13.459
CEMVR_IL_PE_MVR_25,0.023,5.069,-4.757
CEMVR_IL_PE_MVR_26,0.324,9.731,-1.518
CEMVR_IL_PE_MVR_27,0.127,10.312,-1.724
CEMVR_IL_PE_MVR_28,0.085,12.916,-10.879
CEMVR_IL_PE_MVR_29,0,8.664,-8.34
CEMVR_IL_PE_MVR_3,0.188,30,-15
CEMVR_IL_PE_MVR_30,0.081,9.511,-0.917
CEMVR_IL_PE_MVR_31,0.371,1.896,-1.414
CEMVR_IL_PE_MVR_32,0.225,1.55,-1.038
CEMVR_IL_PE_MVR_33,0.299,1.573,-0.756
CEMVR_IL_PE_MVR_34,0.213,1.36,-0.415
CEMVR_IL_PE_MVR_35,0.087,1.534,-0.708
CEMVR_IL_PE_MVR_36,0.011,1.799,-2.802
CEMVR_IL_PE_MVR_37,0,4.415,-2.923
CEMVR_IL_PE_MVR_38,0,1.62,-3.403
CEMVR_IL_PE_MVR_39,0.015,4.088,-3.858
CEMVR_IL_PE_MVR_4,0.221,30,-13.978
CEMVR_IL_PE_MVR_40,0,2.913,-3.543
CEMVR_IL_PE_MVR_41,0,0.531,-0.61
CEMVR_IL_PE_MVR_42,0,0.37,-0.614
CEMVR_IL_PE_MVR_43,0.26,4.238,-13.368
CEMVR_IL_PE_MVR_44,0,0.603,-1.255
CEMVR_IL_PE_MVR_45,0,1.09,-1.543
CEMVR_IL_PE_MVR_46,0,2.582,-2.347
CEMVR_IL_PE_MVR_47,0.031,6.635,-2.215
CEMVR_IL_PE_MVR_48,0.018,30,-2.649
CEMVR_IL_PE_MVR_49,0,5.174,-3.821
CEMVR_IL_PE_MVR_5,0.005,4.093,-1.494
CEMVR_IL_PE_MVR_50,0.166,13.411,-15
CEMVR_IL_PE_MVR_51,0.033,5.162,-1.63
CEMVR_IL_PE_MVR_52,0.095,6.336,-6.064
CEMVR_IL_PE_MVR_53,0.003,6.657,-10.869
CEMVR_IL_PE_MVR_54,0.039,7.842,-11.941
CEMVR_IL_PE_MVR_55,0.001,2.701,-6.636
CEMVR_IL_PE_MVR_56,0.005,18.613,-15
CEMVR_IL_PE_MVR_57,0.114,30,-11.242
CEMVR_IL_PE_MVR_58,0.333,30,-15
CEMVR_IL_PE_MVR_59,0.082,23.169,-15
CEMVR_IL_PE_MVR_6,0.066,7.548,-6.029
CEMVR_IL_PE_MVR_60,0.019,10.53,-15
CEMVR_IL_PE_MVR_61,0.261,22.679,-15
CEMVR_IL_PE_MVR_62,0.129,30,-15
CEMVR_IL_PE_MVR_63,0.22,6.099,-2.694
CEMVR_IL_PE_MVR_64,0,3.647,-3.131
CEMVR_IL_PE_MVR_65,0.413,6.867,-6.482
CEMVR_IL_PE_MVR_66,0,1.54,-1.449
CEMVR_IL_PE_MVR_67,0.05,30,-15
CEMVR_IL_PE_MVR_68,0.128,19.344,-15
CEMVR_IL_PE_MVR_69,0.283,6.851,-14.09
CEMVR_IL_PE_MVR_7,0.035,8.274,-3.256
CEMVR_IL_PE_MVR_70,0.485,30,-6.155
CEMVR_IL_PE_MVR_71,0.164,30,-4.949
CEMVR_IL_PE_MVR_72,0.29,21.577,-15
CEMVR_IL_PE_MVR_73,0.327,30,-15
CEMVR_IL_PE_MVR_8,0.006,0.996,-1.221
CEMVR_IL_PE_MVR_9,0,1.376,-0.442
CEMVR_IL_SR_MVR_1,0.4,30,-3.056
CEMVR_IL_SR_MVR_10,0.105,30,-12.377
CEMVR_IL_SR_MVR_11,0.176,14.891,-15
CEMVR_IL_SR_MVR_12,0.113,12.333,-7.504
CEMVR_IL_SR_MVR_13,0.195,30,-9.731
CEMVR_IL_SR_MVR_2,0.042,5.848,-15
CEMVR_IL_SR_MVR_3,0.02,19.767,-15
CEMVR_IL_SR_MVR_4,0,4.378,-10.635
CEMVR_IL_SR_MVR_5,0.087,5.2,-3.342
CEMVR_IL_SR_MVR_6,0.126,10.569,-8.749
CEMVR_IL_SR_MVR_7,0.076,1.856,-1.19
CEMVR_IL_SR_MVR_8,0.053,0.933,-0.849
CEMVR_IL_SR_MVR_9,0.156,30,-9.328
CEMVR_UM_11_MVR_1,0.196,23.806,-8.623
CEMVR_UM_11_MVR_10,0.917,30,-15
CEMVR_UM_11_MVR_11,0,30,-15
CEMVR_UM_11_MVR_12,0.05,2.596,-2.853
CEMVR_UM_11_MVR_13,0,5.538,-4.666
CEMVR_UM_11_MVR_14,0.068,8.617,-6.367
CEMVR_UM_11_MVR_15,0,30,-15
CEMVR_UM_11_MVR_16,0.129,7.394,-15
CEMVR_UM_11_MVR_17,0.112,15.665,-3.88
CEMVR_UM_11_MVR_18,0.472,17.478,-15
CEMVR_UM_11_MVR_19,0.449,30,-15
CEMVR_UM_11_MVR_2,0.179,5.909,-10.214
CEMVR_UM_11_MVR_20,0.149,27.247,-15
CEMVR_UM_11_MVR_21,0,9.206,-5.535
CEMVR_UM_11_MVR_22,0,1.654,-2.6
CEMVR_UM_11_MVR_23,0,2.133,-3.723
CEMVR_UM_11_MVR_24,0,3.341,-3.064
CEMVR_UM_11_MVR_25,0.01,1.003,-1.141
CEMVR_UM_11_MVR_26,0.001,4.937,-15
CEMVR_UM_11_MVR_27,0,1.987,-3.425
CEMVR_UM_11_MVR_28,0,1.121,-1.683
CEMVR_UM_11_MVR_29,0,1.666,-2.595
CEMVR_UM_11_MVR_3,0,4.885,-6.245
CEMVR_UM_11_MVR_30,0,3.493,-5.384
CEMVR_UM_11_MVR_31,0.001,12.507,-10.107
CEMVR_UM_11_MVR_4,0.193,15.753,-15
CEMVR_UM_11_MVR_5,0.134,20.502,-15
CEMVR_UM_11_MVR_6,0.084,30,-15
CEMVR_UM_11_MVR_7,0.392,30,-15
CEMVR_UM_11_MVR_8,0.03,13.096,-12.539
CEMVR_UM_11_MVR_9,0.282,30,-15
CEMVR_UM_12_MVR_1,0.256,9.271,-10.344
CEMVR_UM_12_MVR_10,0,9.039,-9.275
CEMVR_UM_12_MVR_11,0.081,8.092,-9.906
CEMVR_UM_12_MVR_12,0.034,15.414,-4.749
CEMVR_UM_12_MVR_13,0.106,7.91,-3.246
CEMVR_UM_12_MVR_14,0.027,1.742,-15
CEMVR_UM_12_MVR_15,0.061,16.903,-4.61
CEMVR_UM_12_MVR_16,0.049,17.717,-15
CEMVR_UM_12_MVR_17,0.033,3.999,-2.906
CEMVR_UM_12_MVR_18,0,2.272,-1.548
CEMVR_UM_12_MVR_19,0.049,30,-15
CEMVR_UM_12_MVR_2,0.272,13.678,-6.846
CEMVR_UM_12_MVR_20,0,5.862,-3.155
CEMVR_UM_12_MVR_21,0,2.808,-15
CEMVR_UM_12_MVR_22,0.111,30,-15
CEMVR_UM_12_MVR_23,0.075,30,-7.111
CEMVR_UM_12_MVR_24,0,13.272,-15
CEMVR_UM_12_MVR_25,0,30,-15
CEMVR_UM_12_MVR_26,0,15.948,-14.978
CEMVR_UM_12_MVR_3,0.504,7.83,-9.1
CEMVR_UM_12_MVR_4,0.226,3.987,-4.863
CEMVR_UM_12_MVR_5,0.356,11.051,-5.675
CEMVR_UM_12_MVR_6,0.27,8.709,-8.059
CEMVR_UM_12_MVR_7,0.057,11.365,-13.457
CEMVR_UM_12_MVR_8,0,2.392,-14.496
CEMVR_UM_12_MVR_9,0.069,30,-15
CEMVR_UM_13_MVR_1,0.103,29.739,-15
CEMVR_UM_13_MVR_10,0.039,30,-15
CEMVR_UM_13_MVR_11,0.055,30,-15
CEMVR_UM_13_MVR_12,0.027,6.983,-11.939
CEMVR_UM_13_MVR_13,0.265,12.132,-13.17
CEMVR_UM_13_MVR_14,0,7.758,-2.631
CEMVR_UM_13_MVR_15,0.009,3.449,-6.693
CEMVR_UM_13_MVR_16,0.009,12.351,-12.8
CEMVR_UM_13_MVR_17,0.177,23.224,-15
CEMVR_UM_13_MVR_18,0.03,30,-15
CEMVR_UM_13_MVR_19,0,30,-15
CEMVR_UM_13_MVR_2,0.031,30,-15
CEMVR_UM_13_MVR_20,0,6.371,-15
CEMVR_UM_13_MVR_21,0.014,8.477,-5.741
CEMVR_UM_13_MVR_22,0,24.49,-14.032
CEMVR_UM_13_MVR_23,0.048,30,-15
CEMVR_UM_13_MVR_24,0,16.147,-15
CEMVR_UM_13_MVR_25,0.057,30,-15
CEMVR_UM_13_MVR_26,0.192,30,-15
CEMVR_UM_13_MVR_27,0.181,28.429,-15
CEMVR_UM_13_MVR_28,0.262,8.529,-11.721
CEMVR_UM_13_MVR_29,0.103,6.61,-8.353
CEMVR_UM_13_MVR_3,0,16.896,-4.936
CEMVR_UM_13_MVR_30,0,1.725,-4.673
CEMVR_UM_13_MVR_31,0.389,10.661,-8.252
CEMVR_UM_13_MVR_32,0.002,3.288,-2.269
CEMVR_UM_13_MVR_33,0.007,5.531,-5.887
CEMVR_UM_13_MVR_4,0.039,30,-15
CEMVR_UM_13_MVR_5,0.04,30,-15
CEMVR_UM_13_MVR_6,0.072,11.074,-3.54
CEMVR_UM_13_MVR_7,0.003,14.618,-6.432
CEMVR_UM_13_MVR_8,0.143,30,-15
CEMVR_UM_13_MVR_9,0.132,30,-12.965
CEMVR_UM_14_MVR_1,0,19.428,-15
CEMVR_UM_14_MVR_10,0.086,6.229,-9.743
CEMVR_UM_14_MVR_11,0,22.403,-5.155
CEMVR_UM_14_MVR_12,0.061,25.029,-3.92
CEMVR_UM_14_MVR_13,0.159,30,-15
CEMVR_UM_14_MVR_14,0.005,2.541,-2.844
CEMVR_UM_14_MVR_15,0,5.092,-5.194
CEMVR_UM_14_MVR_16,0.4,2.841,-1.835
CEMVR_UM_14_MVR_17,0,5.401,-1.281
CEMVR_UM_14_MVR_18,0.1,30,-15
CEMVR_UM_14_MVR_19,0.102,30,-15
CEMVR_UM_14_MVR_2,0,11.809,-11.711
CEMVR_UM_14_MVR_20,0.082,30,-15
CEMVR_UM_14_MVR_21,0,24.358,-3.928
CEMVR_UM_14_MVR_22,0,9.789,-1.945
CEMVR_UM_14_MVR_23,0.002,1.608,-1.235
CEMVR_UM_14_MVR_24,0.055,0.735,-1.053
CEMVR_UM_14_MVR_25,0.008,0.7,-0.618
CEMVR_UM_14_MVR_26,0.002,1.392,-1.753
CEMVR_UM_14_MVR_27,0.168,30,-15
CEMVR_UM_14_MVR_28,0.093,17.717,-9.192
CEMVR_UM_14_MVR_3,0.037,8.323,-11.178
CEMVR_UM_14_MVR_4,0,19.417,-10.691
CEMVR_UM_14_MVR_5,0.471,24.211,-15
CEMVR_UM_14_MVR_6,0,30,-15
CEMVR_UM_14_MVR_7,0.039,5.838,-6.913
CEMVR_UM_14_MVR_8,0.376,10.653,-3.399
CEMVR_UM_14_MVR_9,0.115,10.988,-9.77
CEMVR_UM_15_MVR_1,0.033,30,-15
CEMVR_UM_15_MVR_10,0,10.296,-5.412
CEMVR_UM_15_MVR_2,0.032,1.823,-2.997
CEMVR_UM_15_MVR_3,0.004,4.716,-8.693
CEMVR_UM_15_MVR_4,0.214,30,-15
CEMVR_UM_15_MVR_5,0.044,30,-15
CEMVR_UM_15_MVR_6,0,3.587,-2.88
CEMVR_UM_15_MVR_7,0.026,7.22,-3.196
CEMVR_UM_15_MVR_8,0.262,28.003,-15
CEMVR_UM_15_MVR_9,0,30,-15
CEMVR_UM_16_MVR_1,0.112,30,-15
CEMVR_UM_16_MVR_10,0.253,22.174,-14.688
CEMVR_UM_16_MVR_11,0.118,30,-15
CEMVR_UM_16_MVR_12,0.509,30,-15
CEMVR_UM_16_MVR_13,0,17.421,-15
CEMVR_UM_16_MVR_14,0.101,20.778,-15
CEMVR_UM_16_MVR_15,0.006,4.585,-15
CEMVR_UM_16_MVR_16,0,16.423,-15
CEMVR_UM_16_MVR_17,0,2.254,-2.66
CEMVR_UM_16_MVR_18,0.006,3.089,-2.743
CEMVR_UM_16_MVR_19,0.016,5.324,-2.694
CEMVR_UM_16_MVR_2,0.036,26.158,-9.309
CEMVR_UM_16_MVR_20,0.026,2.363,-2.859
CEMVR_UM_16_MVR_21,0,6.95,-2.402
CEMVR_UM_16_MVR_22,0,30,-15
CEMVR_UM_16_MVR_23,0,0.21,-1.318
CEMVR_UM_16_MVR_24,0.115,5.516,-8.666
CEMVR_UM_16_MVR_25,0.205,5.375,-4.867
CEMVR_UM_16_MVR_26,0.385,25.555,-15
CEMVR_UM_16_MVR_3,0.114,11.263,-6.058
CEMVR_UM_16_MVR_4,0.01,8.809,-7.878
CEMVR_UM_16_MVR_5,0.035,5.591,-6.646
CEMVR_UM_16_MVR_6,0.035,1.958,-1.447
CEMVR_UM_16_MVR_7,0.049,23.844,-15
CEMVR_UM_16_MVR_8,0.164,12.784,-13.631
CEMVR_UM_16_MVR_9,0,30,-15
CEMVR_UM_17_MVR_1,0,30,-15
CEMVR_UM_17_MVR_10,0.117,20.324,-11.747
CEMVR_UM_17_MVR_11,0.035,22.215,-15
CEMVR_UM_17_MVR_12,0.016,14.889,-5.614
CEMVR_UM_17_MVR_13,0,3.879,-4.948
CEMVR_UM_17_MVR_14,0,1.463,-2.44
CEMVR_UM_17_MVR_15,0,5.564,-3.482
CEMVR_UM_17_MVR_16,0,3.406,-3.537
CEMVR_UM_17_MVR_17,0,1.397,-1.825
CEMVR_UM_17_MVR_18,0,2.101,-3.153
CEMVR_UM_17_MVR_19,0,6.34,-15
CEMVR_UM_17_MVR_2,0,4.543,-5.78
CEMVR_UM_17_MVR_20,0.006,14.197,-11.346
CEMVR_UM_17_MVR_3,0,3.187,-3.829
CEMVR_UM_17_MVR_4,0.037,3.477,-4.106
CEMVR_UM_17_MVR_5,0.003,2.131,-1.999
CEMVR_UM_17_MVR_6,0.004,1.025,-2.821
CEMVR_UM_17_MVR_7,0.005,0.944,-3.389
CEMVR_UM_17_MVR_8,0,1.405,-1.696
CEMVR_UM_17_MVR_9,0.09,18.33,-11.163
CEMVR_UM_18_MVR_1,0.041,21.227,-10.865
CEMVR_UM_18_MVR_10,0.102,17.221,-15
CEMVR_UM_18_MVR_11,0.111,24.461,-10.179
CEMVR_UM_18_MVR_12,0.168,19.499,-15
CEMVR_UM_18_MVR_13,0.118,4.293,-4.097
CEMVR_UM_18_MVR_14,0,19.518,-15
CEMVR_UM_18_MVR_15,0.036,10.427,-8.67
CEMVR_UM_18_MVR_16,0.164,30,-12.445
CEMVR_UM_18_MVR_17,0.068,30,-15
CEMVR_UM_18_MVR_18,0.072,30,-15
CEMVR_UM_18_MVR_19,0.068,30,-15
CEMVR_UM_18_MVR_2,0,7.881,-15
CEMVR_UM_18_MVR_20,0,30,-5.973
CEMVR_UM_18_MVR_21,0,1.091,-1.313
CEMVR_UM_18_MVR_22,0.093,30,-15
CEMVR_UM_18_MVR_23,0.013,30,-15
CEMVR_UM_18_MVR_24,0.013,11.774,-3.045
CEMVR_UM_18_MVR_25,0,30,-15
CEMVR_UM_18_MVR_26,0,2.488,-3.122
CEMVR_UM_18_MVR_3,0,11.062,-8.884
CEMVR_UM_18_MVR_4,0,3.454,-3.413
CEMVR_UM_18_MVR_5,0.029,30,-15
CEMVR_UM_18_MVR_6,0.001,30,-15
CEMVR_UM_18_MVR_7,0.051,6.782,-3.371
CEMVR_UM_18_MVR_8,0,7.636,-1.586
CEMVR_UM_18_MVR_9,0.005,1.145,-1.251
CEMVR_UM_19_MVR_1,0.02,7.3,-4.802
CEMVR_UM_19_MVR_10,0.048,3.621,-1.025
CEMVR_UM_19_MVR_11,0,5.512,-2.675
CEMVR_UM_19_MVR_12,0.027,30,-15
CEMVR_UM_19_MVR_13,0.17,10.476,-15
CEMVR_UM_19_MVR_14,0.035,30,-15
CEMVR_UM_19_MVR_15,0.266,22.039,-5.033
CEMVR_UM_19_MVR_16,0.725,16.147,-11.203
CEMVR_UM_19_MVR_17,0.437,16.483,-11.155
CEMVR_UM_19_MVR_18,0.446,17.799,-7.957
CEMVR_UM_19_MVR_19,0.031,2.447,-2.354
CEMVR_UM_19_MVR_2,0.036,2.146,-5.463
CEMVR_UM_19_MVR_20,0.101,19.875,-5.906
CEMVR_UM_19_MVR_21,0.026,6.278,-14.671
CEMVR_UM_19_MVR_22,0.204,27.934,-3.184
CEMVR_UM_19_MVR_23,0.43,12.246,-3.562
CEMVR_UM_19_MVR_24,0.162,2.664,-1.308
CEMVR_UM_19_MVR_25,0.241,3.341,-1.941
CEMVR_UM_19_MVR_26,0.173,5.159,-2.648
CEMVR_UM_19_MVR_27,0,6.104,-8.209
CEMVR_UM_19_MVR_28,0.037,2.358,-4.363
CEMVR_UM_19_MVR_3,0.08,1.821,-3.972
CEMVR_UM_19_MVR_30,0,5.375,-4.366
CEMVR_UM_19_MVR_31,0,30,-15
CEMVR_UM_19_MVR_32,0.049,7.005,-1.688
CEMVR_UM_19_MVR_33,0.046,2.131,-3.766
CEMVR_UM_19_MVR_34,0.078,2.382,-2.105
CEMVR_UM_19_MVR_35,0.035,2.689,-3.568
CEMVR_UM_19_MVR_36,0.11,2.07,-2.915
CEMVR_UM_19_MVR_37,0.168,1.992,-2.323
CEMVR_UM_19_MVR_38,0.21,3.371,-1.368
CEMVR_UM_19_MVR_39,0.186,2.353,-5.302
CEMVR_UM_19_MVR_4,0.151,18.004,-9.126
CEMVR_UM_19_MVR_40,0.155,1.751,-1.935
CEMVR_UM_19_MVR_41,0.327,1.514,-0.296
CEMVR_UM_19_MVR_42,0.009,1.129,-0.196
CEMVR_UM_19_MVR_44,0.374,5.48,-4.727
CEMVR_UM_19_MVR_45,0.096,4.394,-7.241
CEMVR_UM_19_MVR_46,0,1.244,-2.044
CEMVR_UM_19_MVR_5,0.009,11.081,-15
CEMVR_UM_19_MVR_6,0.051,28.817,-9.616
CEMVR_UM_19_MVR_7,0.33,14.989,-12.085
CEMVR_UM_19_MVR_8,0.18,8.985,-15
CEMVR_UM_19_MVR_9,0.067,6.295,-7.499
CEMVR_UM_20_MVR_1,0,25.211,-15
CEMVR_UM_20_MVR_10,0.121,15.066,-6.474
CEMVR_UM_20_MVR_11,0,5.686,-8.003
CEMVR_UM_20_MVR_12,0,8.889,-6.664
CEMVR_UM_20_MVR_13,0,22.933,-8.542
CEMVR_UM_20_MVR_14,0.21,30,-15
CEMVR_UM_20_MVR_15,0.205,5.954,-9.603
CEMVR_UM_20_MVR_16,0.336,25.788,-15
CEMVR_UM_20_MVR_17,0.141,6.891,-11.2
CEMVR_UM_20_MVR_18,0.095,9.799,-3.266
CEMVR_UM_20_MVR_19,0.134,15.87,-9.343
CEMVR_UM_20_MVR_2,0,2.164,-4.436
CEMVR_UM_20_MVR_20,0.184,13.241,-15
CEMVR_UM_20_MVR_3,0.399,30,-15
CEMVR_UM_20_MVR_4,0.272,18.376,-15
CEMVR_UM_20_MVR_5,0,3.039,-4.218
CEMVR_UM_20_MVR_6,1.929,7.63,-5.086
CEMVR_UM_20_MVR_7,1.563,8.683,-10.885
CEMVR_UM_20_MVR_8,0,1.67,-1.094
CEMVR_UM_20_MVR_9,0.066,30,-15
CEMVR_UM_21_MVR_1,0,9.515,-12.936
CEMVR_UM_21_MVR_10,0.013,30,-15
CEMVR_UM_21_MVR_11,0.03,14.876,-15
CEMVR_UM_21_MVR_12,0.205,30,-15
CEMVR_UM_21_MVR_13,0.145,30,-15
CEMVR_UM_21_MVR_14,0.075,30,-6.854
CEMVR_UM_21_MVR_15,0,28.44,-15
CEMVR_UM_21_MVR_16,0,30,-15
CEMVR_UM_21_MVR_17,0,2.251,-8.242
CEMVR_UM_21_MVR_18,0,30,-13.258
CEMVR_UM_21_MVR_2,0.049,3.193,-2.818
CEMVR_UM_21_MVR_3,0.04,2.776,-2.531
CEMVR_UM_21_MVR_4,0.038,13.901,-13.016
CEMVR_UM_21_MVR_5,0.11,5.458,-12.908
CEMVR_UM_21_MVR_6,0.172,18.712,-15
CEMVR_UM_21_MVR_7,0.019,6.14,-15
CEMVR_UM_21_MVR_8,0.026,30,-15
CEMVR_UM_21_MVR_9,0,9.307,-3.037
CEMVR_UM_22_MVR_1,0.133,29.921,-14.738
CEMVR_UM_22_MVR_10,0.006,5.469,-4.203
CEMVR_UM_22_MVR_11,0.102,30,-15
CEMVR_UM_22_MVR_12,0.125,30,-15
CEMVR_UM_22_MVR_13,0.654,30,-15
CEMVR_UM_22_MVR_14,0.387,30,-15
CEMVR_UM_22_MVR_15,0.243,30,-15
CEMVR_UM_22_MVR_16,0.57,30,-15
CEMVR_UM_22_MVR_17,0,0.758,-5.625
CEMVR_UM_22_MVR_18,0.061,17.638,-14.523
CEMVR_UM_22_MVR_19,0.235,30,-15
CEMVR_UM_22_MVR_2,0.088,27.708,-15
CEMVR_UM_22_MVR_20,0.177,30,-15
CEMVR_UM_22_MVR_21,0.211,7.275,-10.584
CEMVR_UM_22_MVR_22,0.112,7.816,-8.143
CEMVR_UM_22_MVR_23,0.149,30,-15
CEMVR_UM_22_MVR_24,0.226,26.656,-15
CEMVR_UM_22_MVR_3,0.036,4.413,-5.277
CEMVR_UM_22_MVR_4,0,10.055,-15
CEMVR_UM_22_MVR_5,0.022,30,-15
CEMVR_UM_22_MVR_6,0.186,22.22,-15
CEMVR_UM_22_MVR_7,0,3.554,-3.84
CEMVR_UM_22_MVR_8,0,1.753,-3.554
CEMVR_UM_22_MVR_9,0.027,8.623,-12.503
CEMVR_UM_24_MVR_1,0.186,27.305,-15
